,CANDIDATE,YEAR,STATE,CONSTITUENCY,PARTY,% of VOTES SECURED
40579,J.L.JAHRAT,1999,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI,NCP,0.51
40580,RAJENDRA SINGHAL,1999,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI,IND,0.34
40581,MOHATRAM KHAN,1999,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI,IND,0.19
40582,MAKSOOD ALI,1999,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI,NLP,0.17
40583,M.L.SARAN,1999,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI,UCP,0.16
40584,OM PRAKASH AGGARWAL,1999,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI,IND,0.08
40585,SANJOY SACHDEV,1999,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI,AIMF,0.08
40586,MAHARAJ KUMAR ADVOCATE,1999,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI,DBP,0.08
40587,BRHAM SINGH,1999,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI,IND,0.07
40588,VIJAY KUMAR MALHOTRA,1999,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH DELHI,BJP,52.25
40589,DR. MANMOHAN SINGH,1999,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH DELHI,INC,46.25
40590,MOHD. SARIF,1999,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH DELHI,IND,0.57
40591,NARENDER NATH SHUKLA,1999,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH DELHI,BD,0.2
40592,VED PARKASH,1999,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH DELHI,IND,0.18
40593,DINESH JAIN,1999,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH DELHI,IND,0.12
40594,GHANSHYAM DASS,1999,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH DELHI,IND,0.1
40595,PREMA,1999,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH DELHI,NCP,0.08
40596,JANIS DARBARI,1999,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH DELHI,IND,0.07
40597,JOGINDER SINGH,1999,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH DELHI,IND,0.06
40598,ASHOK KUMAR,1999,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH DELHI,IND,0.06
40599,KHAIRATI LAL,1999,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH DELHI,IND,0.05
40600,SAHIB SINGH VERMA,1999,NATIONAL CAPITAL TERRITORY OF DELHI,OUTER DELHI,BJP,55.12
40601,DEEP CHAND SHARMA,1999,NATIONAL CAPITAL TERRITORY OF DELHI,OUTER DELHI,INC,39.4
40602,BRAHM SINGH,1999,NATIONAL CAPITAL TERRITORY OF DELHI,OUTER DELHI,BSP,3.26
40603,MOHAMMAD ALAM SHER SIDDIK,1999,NATIONAL CAPITAL TERRITORY OF DELHI,OUTER DELHI,IND,0.73
40604,MOHD. IRFAN,1999,NATIONAL CAPITAL TERRITORY OF DELHI,OUTER DELHI,AP,0.39
40605,PARDEEP,1999,NATIONAL CAPITAL TERRITORY OF DELHI,OUTER DELHI,IND,0.22
40606,MAHENDER KUMAR,1999,NATIONAL CAPITAL TERRITORY OF DELHI,OUTER DELHI,IND,0.18
40607,SUKHBIR SHARMA,1999,NATIONAL CAPITAL TERRITORY OF DELHI,OUTER DELHI,NCP,0.16
40608,MANOHAR LAL,1999,NATIONAL CAPITAL TERRITORY OF DELHI,OUTER DELHI,ABJVP,0.15
40609,ASIF KHAN,1999,NATIONAL CAPITAL TERRITORY OF DELHI,OUTER DELHI,IND,0.11
40610,ANIL GOGIA,1999,NATIONAL CAPITAL TERRITORY OF DELHI,OUTER DELHI,IND,0.1
40611,AVDHESH TIWARI,1999,NATIONAL CAPITAL TERRITORY OF DELHI,OUTER DELHI,IND,0.09
40612,INDARJEET,1999,NATIONAL CAPITAL TERRITORY OF DELHI,OUTER DELHI,IND,0.08
40613,LAL BIHARI TIWARI,1999,NATIONAL CAPITAL TERRITORY OF DELHI,EAST DELHI,BJP,50.22
40614,AVM H.L.KAPUR,1999,NATIONAL CAPITAL TERRITORY OF DELHI,EAST DELHI,INC,42.25
40615,MOHD. NAHID,1999,NATIONAL CAPITAL TERRITORY OF DELHI,EAST DELHI,BSP,3.61
40616,MOHD. IQBAL GHAZI,1999,NATIONAL CAPITAL TERRITORY OF DELHI,EAST DELHI,NLP,0.83
40617,SHYAM BIHARI,1999,NATIONAL CAPITAL TERRITORY OF DELHI,EAST DELHI,IND,0.62
40618,JAGVEER SINGH,1999,NATIONAL CAPITAL TERRITORY OF DELHI,EAST DELHI,IND,0.53
40619,DAVENDER KUMAR,1999,NATIONAL CAPITAL TERRITORY OF DELHI,EAST DELHI,SP,0.33
40620,HASNAIN,1999,NATIONAL CAPITAL TERRITORY OF DELHI,EAST DELHI,IND,0.31
40621,GYAN TYAGI,1999,NATIONAL CAPITAL TERRITORY OF DELHI,EAST DELHI,IND,0.17
40622,"DR, KRISHAN KUMAR GOYAL",1999,NATIONAL CAPITAL TERRITORY OF DELHI,EAST DELHI,IND,0.14
40623,GHANSHYAM DAS SINGLA,1999,NATIONAL CAPITAL TERRITORY OF DELHI,EAST DELHI,IND,0.14
40624,ISHWAR VERMA,1999,NATIONAL CAPITAL TERRITORY OF DELHI,EAST DELHI,SPSP,0.13
40625,RAVINDER NATH SHARMA,1999,NATIONAL CAPITAL TERRITORY OF DELHI,EAST DELHI,CPI(ML)(L),0.12
40626,DR. SITA RAM SHARMA,1999,NATIONAL CAPITAL TERRITORY OF DELHI,EAST DELHI,IND,0.11
40627,S.P.PATHAK ALIAS SHAHPAL,1999,NATIONAL CAPITAL TERRITORY OF DELHI,EAST DELHI,UCP,0.1
40628,NARENDRA KUMAR JAIN,1999,NATIONAL CAPITAL TERRITORY OF DELHI,EAST DELHI,ABMAD,0.09
40629,VED PRAKASH,1999,NATIONAL CAPITAL TERRITORY OF DELHI,EAST DELHI,NCP,0.09
40630,SUNESH KUMAR,1999,NATIONAL CAPITAL TERRITORY OF DELHI,EAST DELHI,BD,0.08
40631,RAM SWAROOP RAWAT,1999,NATIONAL CAPITAL TERRITORY OF DELHI,EAST DELHI,BEP(R),0.08
40632,BACHAN SINGH,1999,NATIONAL CAPITAL TERRITORY OF DELHI,EAST DELHI,LSWP,0.07
40633,VIJAY GOEL,1999,NATIONAL CAPITAL TERRITORY OF DELHI,CHANDNI CHOWK,BJP,36.19
40634,JAI PRAKASH AGARWAL,1999,NATIONAL CAPITAL TERRITORY OF DELHI,CHANDNI CHOWK,INC,35.22
40635,SHOAIB IQBAL,1999,NATIONAL CAPITAL TERRITORY OF DELHI,CHANDNI CHOWK,JD(S),25.79
40636,HAR BHAJAN SINGH,1999,NATIONAL CAPITAL TERRITORY OF DELHI,CHANDNI CHOWK,IND,1.26
40637,SALAHUDDIN QURESHI,1999,NATIONAL CAPITAL TERRITORY OF DELHI,CHANDNI CHOWK,SP,0.46
40638,SYLVIA,1999,NATIONAL CAPITAL TERRITORY OF DELHI,CHANDNI CHOWK,IND,0.33
40639,MOHD. SUAHELEEN,1999,NATIONAL CAPITAL TERRITORY OF DELHI,CHANDNI CHOWK,IND,0.26
40640,DEV RAJ,1999,NATIONAL CAPITAL TERRITORY OF DELHI,CHANDNI CHOWK,IND,0.13
40641,RAFI ULLHA,1999,NATIONAL CAPITAL TERRITORY OF DELHI,CHANDNI CHOWK,IND,0.08
40642,ANAND SHARMA,1999,NATIONAL CAPITAL TERRITORY OF DELHI,CHANDNI CHOWK,IND,0.06
40643,GANGA PERSHAD SHARMA,1999,NATIONAL CAPITAL TERRITORY OF DELHI,CHANDNI CHOWK,IND,0.06
40644,SIDDHARTH,1999,NATIONAL CAPITAL TERRITORY OF DELHI,CHANDNI CHOWK,IND,0.05
40645,ANIL,1999,NATIONAL CAPITAL TERRITORY OF DELHI,CHANDNI CHOWK,IND,0.05
40646,SHER SINGH JAIN,1999,NATIONAL CAPITAL TERRITORY OF DELHI,CHANDNI CHOWK,IND,0.04
40647,RAJESH SHARDA,1999,NATIONAL CAPITAL TERRITORY OF DELHI,CHANDNI CHOWK,IND,0.03
40648,MADAN LAL KHURANA,1999,NATIONAL CAPITAL TERRITORY OF DELHI,DELHI SADAR,BJP,51.45
40649,JAGDISH TYTLER,1999,NATIONAL CAPITAL TERRITORY OF DELHI,DELHI SADAR,INC,46.47
40650,HEPJOOL REHMAN,1999,NATIONAL CAPITAL TERRITORY OF DELHI,DELHI SADAR,IND,0.69
40651,MD. ZAHID,1999,NATIONAL CAPITAL TERRITORY OF DELHI,DELHI SADAR,SP,0.33
40652,RAM PRAKASH GUPTA,1999,NATIONAL CAPITAL TERRITORY OF DELHI,DELHI SADAR,IND,0.23
40653,MADAN LAL,1999,NATIONAL CAPITAL TERRITORY OF DELHI,DELHI SADAR,IND,0.19
40654,JAGDISH KUMAR,1999,NATIONAL CAPITAL TERRITORY OF DELHI,DELHI SADAR,IND,0.17
40655,K.K. MEHTA,1999,NATIONAL CAPITAL TERRITORY OF DELHI,DELHI SADAR,NCP,0.12
40656,RAVI,1999,NATIONAL CAPITAL TERRITORY OF DELHI,DELHI SADAR,IND,0.08
40657,KUMAR SEN BOUDDH,1999,NATIONAL CAPITAL TERRITORY OF DELHI,DELHI SADAR,IND,0.08
40658,SANJEEV VAID,1999,NATIONAL CAPITAL TERRITORY OF DELHI,DELHI SADAR,NCY,0.06
40659,NARENDER SHARMA,1999,NATIONAL CAPITAL TERRITORY OF DELHI,DELHI SADAR,IND,0.06
40660,MANKESHWAR NATH,1999,NATIONAL CAPITAL TERRITORY OF DELHI,DELHI SADAR,IND,0.05
40661,ANITA ARYA,1999,NATIONAL CAPITAL TERRITORY OF DELHI,KAROL BAGH (SC),BJP,49.93
40662,MEIRA KUMAR,1999,NATIONAL CAPITAL TERRITORY OF DELHI,KAROL BAGH (SC),INC,45.1
40663,RAM SWAROOP,1999,NATIONAL CAPITAL TERRITORY OF DELHI,KAROL BAGH (SC),BSP,2.19
40664,VINOD KUMAR,1999,NATIONAL CAPITAL TERRITORY OF DELHI,KAROL BAGH (SC),IND,0.78
40665,LALA RAM,1999,NATIONAL CAPITAL TERRITORY OF DELHI,KAROL BAGH (SC),IND,0.58
40666,GANGA SAHAY BHIRAVA,1999,NATIONAL CAPITAL TERRITORY OF DELHI,KAROL BAGH (SC),NCP,0.54
40667,KALAWATI,1999,NATIONAL CAPITAL TERRITORY OF DELHI,KAROL BAGH (SC),BPM,0.2
40668,MOHINDER SINGH,1999,NATIONAL CAPITAL TERRITORY OF DELHI,KAROL BAGH (SC),IND,0.19
40669,LALIT KUMAR SAKKARWAL,1999,NATIONAL CAPITAL TERRITORY OF DELHI,KAROL BAGH (SC),IND,0.17
40670,SHAILENDRA,1999,NATIONAL CAPITAL TERRITORY OF DELHI,KAROL BAGH (SC),ABMAD,0.14
40671,KUSUM LATA,1999,NATIONAL CAPITAL TERRITORY OF DELHI,KAROL BAGH (SC),IND,0.11
40672,BABU LAL TORY,1999,NATIONAL CAPITAL TERRITORY OF DELHI,KAROL BAGH (SC),IND,0.07
40673,P.M. SAYEED,1999,LAKSHADWEEP,LAKSHADWEEP (ST),INC,53.96
40674,DR. K.P. MUTHUKOYA,1999,LAKSHADWEEP,LAKSHADWEEP (ST),JD(U),43.28
40675,HUSSAIN FABURIKAGE,1999,LAKSHADWEEP,LAKSHADWEEP (ST),JD(S),1.82
40676,AMEER BIYYAMMADA,1999,LAKSHADWEEP,LAKSHADWEEP (ST),IND,0.94
40677,M O H FAROOK,1999,PONDICHERRY,PONDICHERRY,INC,37.17
40678,M RAMADASS,1999,PONDICHERRY,PONDICHERRY,PMK,31.73
40679,P KANNAN,1999,PONDICHERRY,PONDICHERRY,TMC(M),25.16
40680,KALIVARADHAN,1999,PONDICHERRY,PONDICHERRY,IND,2.13
40681,A RAMALINGAM,1999,PONDICHERRY,PONDICHERRY,IND,1.25
40682,ADV. T ASHOK KUMAR,1999,PONDICHERRY,PONDICHERRY,IND,1.17
40683,DR. K PADMARAJAN,1999,PONDICHERRY,PONDICHERRY,IND,0.61
40684,S PARAMASIVAM,1999,PONDICHERRY,PONDICHERRY,IND,0.49
40685,SURENDRA KUMAR GUPTA,1999,PONDICHERRY,PONDICHERRY,IND,0.3
40686,YERRANNAIDU KINJARAPU,1999,ANDHRA PRADESH,SRIKAKULAM,TDP,56.81
40687,KANITHI VISWANADAHAM,1999,ANDHRA PRADESH,SRIKAKULAM,INC,42.09
40688,APPALA NAIDU GOLIVE,1999,ANDHRA PRADESH,SRIKAKULAM,AJBP,1.11
40689,DADICHILUKA VEERA GOURI SANKARA RAO,1999,ANDHRA PRADESH,PARVATHIPURAM (ST),TDP,49.54
40690,KISHORE CHANDRA SURYANARAYANA DEO VYRICHERLA,1999,ANDHRA PRADESH,PARVATHIPURAM (ST),INC,47.38
40691,ARIKA GUMPA SWAMY,1999,ANDHRA PRADESH,PARVATHIPURAM (ST),IND,1.59
40692,VOOYAKA MUTYALU,1999,ANDHRA PRADESH,PARVATHIPURAM (ST),IND,1.49
40693,BOTCHA SATYANARAYANA,1999,ANDHRA PRADESH,BOBBILI,INC,48.95
40694,ARUNA PADALA,1999,ANDHRA PRADESH,BOBBILI,TDP,48.4
40695,MANJULA DASARI,1999,ANDHRA PRADESH,BOBBILI,AJBP,2.37
40696,ENUMULA APPA RAO,1999,ANDHRA PRADESH,BOBBILI,IND,0.29
40697,M.V.V.S.MURTHY,1999,ANDHRA PRADESH,VISAKHAPATNAM,TDP,49.96
40698,T.SUBBARAMI REDDY,1999,ANDHRA PRADESH,VISAKHAPATNAM,INC,45.56
40699,CH.NARSINGA RAO,1999,ANDHRA PRADESH,VISAKHAPATNAM,CPM,3.01
40700,NAVISH YADAV(T.N.V.MURTHI B.E.),1999,ANDHRA PRADESH,VISAKHAPATNAM,SP,1.06
40701,APPA RAO GUDIVADA,1999,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.26
40702,NANDURI PANI,1999,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.16
40703,DUMPA MARY VIJAYA KUMARI,1999,ANDHRA PRADESH,BHADRACHALAM (ST),TDP,40.3
40704,T.RATNABAI,1999,ANDHRA PRADESH,BHADRACHALAM (ST),INC,35.21
40705,RAMAIAH SODE,1999,ANDHRA PRADESH,BHADRACHALAM (ST),CPI,16.81
40706,PANGI SATYANARAYANA,1999,ANDHRA PRADESH,BHADRACHALAM (ST),NTRTDP(LP),3.35
40707,K. RANGA REDDY,1999,ANDHRA PRADESH,BHADRACHALAM (ST),IND,2.32
40708,KURASAM SUBBA RAO,1999,ANDHRA PRADESH,BHADRACHALAM (ST),IND,2.01
40709,GANTA SRINIVASA RAO,1999,ANDHRA PRADESH,ANAKAPALLI,TDP,52.75
40710,GURUNADHA RAO GUDIVADA,1999,ANDHRA PRADESH,ANAKAPALLI,INC,44.9
40711,APPALA TRINADHA RAO BHEESETTI,1999,ANDHRA PRADESH,ANAKAPALLI,ATDP,1.87
40712,CHODAY SRINIVASA RAO,1999,ANDHRA PRADESH,ANAKAPALLI,NTRTDP(LP),0.48
40713,MUDRAGADA PADMANABHAM,1999,ANDHRA PRADESH,KAKINADA,TDP,53.64
40714,THOTA SUBBARAO,1999,ANDHRA PRADESH,KAKINADA,INC,38.69
40715,BODDU KRISHNA MOHAN,1999,ANDHRA PRADESH,KAKINADA,ATDP,5.47
40716,NAINALASETTI MURTHY,1999,ANDHRA PRADESH,KAKINADA,CPI(ML)(L),1.09
40717,PACHIPALA RAMA PRAKASH,1999,ANDHRA PRADESH,KAKINADA,IND,0.76
40718,CHANDRASEKHARARAO P.,1999,ANDHRA PRADESH,KAKINADA,IND,0.18
40719,MUTYALA RAMALINGA CHOWDARY,1999,ANDHRA PRADESH,KAKINADA,AJBP,0.16
40720,SATYANARAYANA RAO S.B.P.B.K,1999,ANDHRA PRADESH,RAJAHMUNDRY,BJP,51.73
40721,CHITTURI RAVINDRA,1999,ANDHRA PRADESH,RAJAHMUNDRY,INC,44.2
40722,BOMMIDI RAM MOHAN RAO,1999,ANDHRA PRADESH,RAJAHMUNDRY,AJBP,1.98
40723,VELAGALA SATHI REDDY (ADVOCATE),1999,ANDHRA PRADESH,RAJAHMUNDRY,ATDP,1.37
40724,M.K.R.C. MURTY,1999,ANDHRA PRADESH,RAJAHMUNDRY,IND,0.36
40725,NARAPAREDDY SOMA BRAHMA RANGA RAO,1999,ANDHRA PRADESH,RAJAHMUNDRY,IND,0.2
40726,SRI HARI RAO RIMMALAPUDI,1999,ANDHRA PRADESH,RAJAHMUNDRY,IND,0.17
40727,GANTI MOHANACHANDRA BALAYOGI,1999,ANDHRA PRADESH,AMALAPURAM (SC),TDP,55.56
40728,GOLLAPALLI SURYARAO,1999,ANDHRA PRADESH,AMALAPURAM (SC),INC,37.63
40729,AKUMARTHI SURYANARAYANA,1999,ANDHRA PRADESH,AMALAPURAM (SC),MCPI(S),3.99
40730,SAKA YESURATNAM,1999,ANDHRA PRADESH,AMALAPURAM (SC),ATDP,2.53
40731,AKUMARTHI ASEERVADAMU,1999,ANDHRA PRADESH,AMALAPURAM (SC),AJBP,0.29
40732,UPPALAPATI VENKATA KRISHNAM RAJU,1999,ANDHRA PRADESH,NARASAPUR,BJP,59.78
40733,KANUMURU BAPIRAJU,1999,ANDHRA PRADESH,NARASAPUR,INC,36.22
40734,RUDRARAJU SATYANARAYANA RAJU(R.S),1999,ANDHRA PRADESH,NARASAPUR,CPM,4.0
40735,BOLLA BULLI RAMAIAH,1999,ANDHRA PRADESH,ELURU,TDP,52.23
40736,MAGANTI VENKATESWARA RAO (BABU),1999,ANDHRA PRADESH,ELURU,INC,44.78
40737,DAYYALA SAREEN BABU,1999,ANDHRA PRADESH,ELURU,IND,1.57
40738,G.S.R. CHOWDARY,1999,ANDHRA PRADESH,ELURU,ATDP,0.82
40739,MAGANTI SRIDEVI,1999,ANDHRA PRADESH,ELURU,NTRTDP(LP),0.32
40740,KARUTURI RAMAKRISHNA (KITTU),1999,ANDHRA PRADESH,ELURU,IND,0.15
40741,KODURI SRIRAMULU,1999,ANDHRA PRADESH,ELURU,IND,0.09
40742,SUNKAVALLI SRIGOPINADH,1999,ANDHRA PRADESH,ELURU,IND,0.04
40743,AMBATI BRAHMANAIAH,1999,ANDHRA PRADESH,MACHILIPATNAM,TDP,54.44
40744,KAVURU SAMBASIVA RAO,1999,ANDHRA PRADESH,MACHILIPATNAM,INC,42.78
40745,RAJENDRA PRASADU PUTTAGUNTA,1999,ANDHRA PRADESH,MACHILIPATNAM,AJBP,1.7
40746,KAMESWARA RAO DODDA,1999,ANDHRA PRADESH,MACHILIPATNAM,PPOI,1.08
40747,GADDE RAMA MOHAN,1999,ANDHRA PRADESH,VIJAYAWADA,TDP,51.96
40748,UPENDRA PARVATHANENI,1999,ANDHRA PRADESH,VIJAYAWADA,INC,42.59
40749,KOLLI NAGESWARA RAO,1999,ANDHRA PRADESH,VIJAYAWADA,CPI,3.97
40750,RAMA MOHANA RAO YALAMANCHILI,1999,ANDHRA PRADESH,VIJAYAWADA,IND,0.33
40751,SUBRAMAHESWARA RAO (MANI) YENDURI,1999,ANDHRA PRADESH,VIJAYAWADA,PPOI,0.3
40752,PILLA VENKATESWARA RAO,1999,ANDHRA PRADESH,VIJAYAWADA,IND,0.27
40753,NANDIGAM VISHNU,1999,ANDHRA PRADESH,VIJAYAWADA,AJBP,0.24
40754,SUDHAKARA REDDY LAKKIREDDY,1999,ANDHRA PRADESH,VIJAYAWADA,NTRTDP(LP),0.11
40755,RAJANALA GOPIKRISHNA,1999,ANDHRA PRADESH,VIJAYAWADA,IND,0.07
40756,BALLARAPU RAJA RAO,1999,ANDHRA PRADESH,VIJAYAWADA,IND,0.06
40757,PARASA YESU RATNAM,1999,ANDHRA PRADESH,VIJAYAWADA,IND,0.05
40758,KANNEGANTI PURNESWARA RAO,1999,ANDHRA PRADESH,VIJAYAWADA,IND,0.05
40759,UMMAREDDY VENKATESWARLU,1999,ANDHRA PRADESH,TENALI,TDP,52.63
40760,P.SHIV SHANKER,1999,ANDHRA PRADESH,TENALI,INC,41.32
40761,NAGESWARA RAO PARCHURI,1999,ANDHRA PRADESH,TENALI,CPM,5.55
40762,NAGARAJU VAIGANDLA,1999,ANDHRA PRADESH,TENALI,AJBP,0.28
40763,"DR.AREMANDA SAMBASIVA RAO, M.B.B.S",1999,ANDHRA PRADESH,TENALI,NTRTDP(LP),0.21
40764,YEMPARALA VENKATESWARARAO,1999,ANDHRA PRADESH,GUNTUR,TDP,51.08
40765,RAYAPATI SAMBASIVA RAO,1999,ANDHRA PRADESH,GUNTUR,INC,45.92
40766,CHILKA CHANDRAIAH,1999,ANDHRA PRADESH,GUNTUR,MCPI(S),1.26
40767,BHASHYAM NARASAIAH,1999,ANDHRA PRADESH,GUNTUR,ATDP,1.21
40768,GHANTA JAGANNADHARAO,1999,ANDHRA PRADESH,GUNTUR,IND,0.13
40769,POORNACHANDRARAO KOLLA,1999,ANDHRA PRADESH,GUNTUR,NTRTDP(LP),0.11
40770,SAIDAIAH PAGADALA,1999,ANDHRA PRADESH,GUNTUR,PPOI,0.1
40771,VADDINENI ROSAMMA,1999,ANDHRA PRADESH,GUNTUR,AJBP,0.09
40772,C.V.B.KRISHNAMURTHY,1999,ANDHRA PRADESH,GUNTUR,IND,0.07
40773,MUVVA VENKATARAO,1999,ANDHRA PRADESH,GUNTUR,IND,0.03
40774,D. RAMA NAIDU,1999,ANDHRA PRADESH,BAPATLA,TDP,55.83
40775,JESUDASU SEELAM,1999,ANDHRA PRADESH,BAPATLA,INC,42.92
40776,VENKATESWARLU KATHARU,1999,ANDHRA PRADESH,BAPATLA,ATDP,0.68
40777,BACHINA RADHA KRISHNA MURTHY,1999,ANDHRA PRADESH,BAPATLA,IND,0.27
40778,GURAVA REDDY VALI,1999,ANDHRA PRADESH,BAPATLA,NTRTDP(LP),0.18
40779,CHUNDURI RAMAIAH,1999,ANDHRA PRADESH,BAPATLA,IND,0.07
40780,MODADUGU RAMESH BABU,1999,ANDHRA PRADESH,BAPATLA,IND,0.06
40781,JANARDHANAREDDY NEDURUMALLI,1999,ANDHRA PRADESH,NARASARAOPET,INC,50.27
40782,LAL JANBASHA S.M,1999,ANDHRA PRADESH,NARASARAOPET,TDP,48.66
40783,KOTESWARARAO SANGALA,1999,ANDHRA PRADESH,NARASARAOPET,ATDP,0.5
40784,SALLAGUNDLA SATISH,1999,ANDHRA PRADESH,NARASARAOPET,IND,0.33
40785,P. SATISH KUMAR,1999,ANDHRA PRADESH,NARASARAOPET,IND,0.14
40786,VAJRALA CHINA AYYAPPA REDDY,1999,ANDHRA PRADESH,NARASARAOPET,IND,0.09
40787,KARANAM BALARAMA KRISHNA MURTHY,1999,ANDHRA PRADESH,ONGOLE,TDP,50.58
40788,SREENIVASULU REDDY MAGUNTA,1999,ANDHRA PRADESH,ONGOLE,INC,47.76
40789,BYRAPUNENI SURYANARAYANA,1999,ANDHRA PRADESH,ONGOLE,ATDP,0.82
40790,RAYAPUDI SANGEETHA RAO,1999,ANDHRA PRADESH,ONGOLE,SHSP,0.43
40791,MAKINENI VENKATA NARASIMHAM,1999,ANDHRA PRADESH,ONGOLE,JD(S),0.19
40792,DAGGUPATI SREEDHAR,1999,ANDHRA PRADESH,ONGOLE,IND,0.1
40793,ALLA RAMACHANDRA REDDY,1999,ANDHRA PRADESH,ONGOLE,IND,0.07
40794,PRASAD BABU KURRE,1999,ANDHRA PRADESH,ONGOLE,IND,0.05
40795,RAJESWARAMMA VUKKALA,1999,ANDHRA PRADESH,NELLORE (SC),TDP,49.51
40796,PANABAKA LAKSHMI,1999,ANDHRA PRADESH,NELLORE (SC),INC,44.26
40797,THUMMALAGUNTA PRAPANCHA BHANU RAJU,1999,ANDHRA PRADESH,NELLORE (SC),CPM,4.01
40798,KOMARIKA JAYARAMAIAH,1999,ANDHRA PRADESH,NELLORE (SC),MCPI(S),1.23
40799,K.D.RAMESH BABU,1999,ANDHRA PRADESH,NELLORE (SC),AJBP,0.83
40800,BATTU RAGHU RAMAIAH,1999,ANDHRA PRADESH,NELLORE (SC),PPOI,0.17
40801,DR.N.VENKATASWAMY,1999,ANDHRA PRADESH,TIRUPATHI (SC),BJP,48.89
40802,CHINTHA MOHAN,1999,ANDHRA PRADESH,TIRUPATHI (SC),INC,47.31
40803,T.GUNASEKHAR,1999,ANDHRA PRADESH,TIRUPATHI (SC),ATDP,1.56
40804,KATTAMANCHI PRABHAKAR,1999,ANDHRA PRADESH,TIRUPATHI (SC),IND,1.03
40805,P.CHIRANJEEVI,1999,ANDHRA PRADESH,TIRUPATHI (SC),PPOI,0.98
40806,POLASI MANI,1999,ANDHRA PRADESH,TIRUPATHI (SC),AJBP,0.22
40807,NOOTHANA KALVA RAMAKRISHNA REDDY,1999,ANDHRA PRADESH,CHITTOOR,TDP,50.18
40808,R.GOPINATH,1999,ANDHRA PRADESH,CHITTOOR,INC,47.95
40809,G.ABDUL RAWOOF,1999,ANDHRA PRADESH,CHITTOOR,ATDP,1.55
40810,T.BABU REDDY,1999,ANDHRA PRADESH,CHITTOOR,IND,0.24
40811,T.G.SURESH,1999,ANDHRA PRADESH,CHITTOOR,IND,0.08
40812,GUNIPATI RAMAIAH,1999,ANDHRA PRADESH,RAJAMPET,TDP,48.76
40813,ANNAIAHGARI SAIPRATHAP,1999,ANDHRA PRADESH,RAJAMPET,INC,44.65
40814,MAHABOOB BASHA SHAIK,1999,ANDHRA PRADESH,RAJAMPET,ATDP,3.4
40815,PRASAD REDDY KOKKANTI,1999,ANDHRA PRADESH,RAJAMPET,IND,1.88
40816,OBAIAH NAIDU KASTURI,1999,ANDHRA PRADESH,RAJAMPET,IND,0.49
40817,G. SUBBARAYUDU,1999,ANDHRA PRADESH,RAJAMPET,AJBP,0.3
40818,KAKALAPATHI GEORGE STEPHAN,1999,ANDHRA PRADESH,RAJAMPET,JD(S),0.21
40819,RAMESH REDDY SIDDAVARAM,1999,ANDHRA PRADESH,RAJAMPET,RJD,0.17
40820,KUNI NAGESWARA RAO,1999,ANDHRA PRADESH,RAJAMPET,NTRTDP(LP),0.1
40821,ASADI VENKATADRI,1999,ANDHRA PRADESH,RAJAMPET,IND,0.03
40822,VIVEKANANDA REDDY Y.S.,1999,ANDHRA PRADESH,CUDDAPAH,INC,50.89
40823,KANDULA RAJAMOHAN REDDY,1999,ANDHRA PRADESH,CUDDAPAH,TDP,47.21
40824,SIVA SANKARA REDDY DEVIREDDY,1999,ANDHRA PRADESH,CUDDAPAH,IND,0.72
40825,ORUGANTI BALASUBBAIAH,1999,ANDHRA PRADESH,CUDDAPAH,IND,0.47
40826,C. GOPALA,1999,ANDHRA PRADESH,CUDDAPAH,IND,0.16
40827,NANDYALA RAGHAVA REDDY,1999,ANDHRA PRADESH,CUDDAPAH,NCP,0.13
40828,ADINARAYANA REDDY CHADIPIRALA,1999,ANDHRA PRADESH,CUDDAPAH,NTRTDP(LP),0.11
40829,A.M.V. PRASAD,1999,ANDHRA PRADESH,CUDDAPAH,IND,0.11
40830,R. VISWANADHA REDDY,1999,ANDHRA PRADESH,CUDDAPAH,IND,0.09
40831,YEEDALA SIVA NAGI REDDY,1999,ANDHRA PRADESH,CUDDAPAH,IND,0.07
40832,V. NARASAIAH,1999,ANDHRA PRADESH,CUDDAPAH,IND,0.05
40833,B.K. PARTHASARATHI,1999,ANDHRA PRADESH,HINDUPUR,TDP,56.25
40834,S. GANGADHAR,1999,ANDHRA PRADESH,HINDUPUR,INC,38.74
